Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
Q9Y2S7	Homo sapiens	Metazoa	368		False
Q96IY1	Homo sapiens	Metazoa	281		False
P47979	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	404		False
Q8L7W1	Arabidopsis thaliana	Viridiplantae	678		False
Q06511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		False
P19517	Oryctolagus cuniculus	Metazoa	524		False
P47167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239		False
Q9NWH2	Homo sapiens	Metazoa	141		True
Q9NSN8	Homo sapiens	Metazoa	517		False
Q80YF9	Mus musculus	Metazoa	1305		False
Q19203	Caenorhabditis elegans	Metazoa	310		False
Q18221	Caenorhabditis elegans	Metazoa	1507		False
Q336R3	Oryza sativa subsp. japonica	Viridiplantae	844		False
P0C2X8	Xenopus laevis	Metazoa	363		False
O15524	Homo sapiens	Metazoa	211		False
Q9QZS8	Mus musculus	Metazoa	854		False
P52901	Arabidopsis thaliana	Viridiplantae	389		False
F4IF36	Arabidopsis thaliana	Viridiplantae	1295		False
Q8IP99	Drosophila melanogaster	Metazoa	308		False
O59678	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	166		False
P12383	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1068		False
Q9UDW3	Homo sapiens	Metazoa	170		False
P48240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		False
A2ALU4	Mus musculus	Metazoa	1481		False
O54724	Mus musculus	Metazoa	392		False
Q9SYJ8	Arabidopsis thaliana	Viridiplantae	372		False
Q9HEV5	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	426		False
Q6NVU6	Homo sapiens	Metazoa	218		False
Q9H410	Homo sapiens	Metazoa	356		False
Q5VWQ8	Homo sapiens	Metazoa	1189		False
P38874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	309		False
O49668	Arabidopsis thaliana	Viridiplantae	214		False
Q8L3X9	Arabidopsis thaliana	Viridiplantae	461		False
Q9JKU3	Rattus norvegicus	Metazoa	1749		False
Q1MTS0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	597		False
Q14CZ7	Homo sapiens	Metazoa	662		False
O80845	Arabidopsis thaliana	Viridiplantae	236		False
P32786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	894		False
F4HVG8	Arabidopsis thaliana	Viridiplantae	611		False
Q9Y6I9	Homo sapiens	Metazoa	313		True
Q921W0	Mus musculus	Metazoa	196		False
Q156A1	Homo sapiens	Metazoa	80		False
Q584U2	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	267		False
Q791V5	Mus musculus	Metazoa	303		True
Q96N11	Homo sapiens	Metazoa	449		False
Q93092	Mus musculus	Metazoa	337		False
Q9URT8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	111		False
A7UL74	Arabidopsis thaliana	Viridiplantae	345		False
P38236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366		False
Q64318	Mus musculus	Metazoa	1117		False
Q8NFH4	Homo sapiens	Metazoa	326		False
P53540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	846		False
Q12046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	339		False
Q9ZQS5	Cyanidium caldarium	Other	154		False
A0PJW6	Homo sapiens	Metazoa	202		True
Q06266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	489		False
P52868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		False
P00480	Homo sapiens	Metazoa	354		False
C0HMD7	Homo sapiens	Metazoa	151		False
Q00947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		False
Q9Y7Z5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	279		True
Q9UJX5	Homo sapiens	Metazoa	808		False
P07249	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		False
P62854	Homo sapiens	Metazoa	115		False
Q86UK7	Homo sapiens	Metazoa	904		False
P35201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	549		False
Q9NTJ3	Homo sapiens	Metazoa	1288		False
Q9P7P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	528		False
P25588	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1096		False
Q42496	Chlamydomonas reinhardtii	Viridiplantae	99		True
Q8I8U7	Drosophila melanogaster	Metazoa	3790		False
Q9FFH1	Arabidopsis thaliana	Viridiplantae	1694		False
Q9Y6P5	Homo sapiens	Metazoa	492		False
Q9HBM1	Homo sapiens	Metazoa	224		False
O13936	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	990		False
Q12166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604		False
Q9VC61	Drosophila melanogaster	Metazoa	755		False
Q06679	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	776		False
Q9UKJ5	Homo sapiens	Metazoa	165		False
P06785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	304		False
P19447	Homo sapiens	Metazoa	782		False
P40160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	425		False
Q96ST8	Homo sapiens	Metazoa	783		False
A0A076FFM5	Ocimum basilicum	Viridiplantae	523		False
Q2V2Q1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113		False
Q9VXG1	Drosophila melanogaster	Metazoa	1959		False
Q01664	Homo sapiens	Metazoa	338		False
Q2VWA4	Homo sapiens	Metazoa	1015		False
Q8N5C7	Homo sapiens	Metazoa	304		False
Q03280	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3268		False
Q9P1T7	Homo sapiens	Metazoa	246		False
Q9P212	Homo sapiens	Metazoa	2302		False
P12198	Nicotiana tabacum	Viridiplantae	55		False
Q04847	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553		False
Q9FGX1	Arabidopsis thaliana	Viridiplantae	608		False
Q5XF07	Arabidopsis thaliana	Viridiplantae	364		False
Q9JHH9	Mus musculus	Metazoa	205		False
Q07799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	665		False
Q8W4F1	Arabidopsis thaliana	Viridiplantae	284		False
P46655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		False
Q02793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397		False
Q9USM1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	388		False
P53846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162		False
O22682	Arabidopsis thaliana	Viridiplantae	404		False
Q15436	Homo sapiens	Metazoa	765		False
Q10574	Caenorhabditis elegans	Metazoa	142		False
Q9QZ04	Mus musculus	Metazoa	1284		False
O55081	Rattus norvegicus	Metazoa	1135		False
Q9Y3E5	Homo sapiens	Metazoa	179		True
P53955	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	656		False
Q7Z698	Homo sapiens	Metazoa	418		False
Q12884	Homo sapiens	Metazoa	760		True
Q5IBH7	Mus musculus	Metazoa	310		False
P23709	Bos taurus	Metazoa	266		False
Q8W4D0	Arabidopsis thaliana	Viridiplantae	631		False
P40033	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	138		False
Q8BMP6	Mus musculus	Metazoa	525		False
Q95QI7	Caenorhabditis elegans	Metazoa	892		False
Q6PJG6	Homo sapiens	Metazoa	821		False
Q7TPF1	Rattus norvegicus	Metazoa	97		True
O54697	Rattus norvegicus	Metazoa	745		True
P38204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	145		False
Q9H2K2	Homo sapiens	Metazoa	1166		False
Q8K299	Mus musculus	Metazoa	491		True
Q6NLC1	Arabidopsis thaliana	Viridiplantae	706		True
Q9UU96	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	736		False
O61660	Caenorhabditis elegans	Metazoa	759		False
Q08902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	515		True
Q9LSQ5	Arabidopsis thaliana	Viridiplantae	204		False
Q8CD10	Mus musculus	Metazoa	432		False
Q4PSK3	Arabidopsis thaliana	Viridiplantae	124		False
Q9P6R0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	492		False
Q24174	Drosophila melanogaster	Metazoa	904		False
Q20497	Caenorhabditis elegans	Metazoa	3498		False
Q9N5R9	Caenorhabditis elegans	Metazoa	1030		False
B1AL88	Homo sapiens	Metazoa	458		True
Q9LY74	Arabidopsis thaliana	Viridiplantae	338		False
Q9HA38	Homo sapiens	Metazoa	289		False
Q9SF47	Arabidopsis thaliana	Viridiplantae	904		False
Q53JF7	Oryza sativa subsp. japonica	Viridiplantae	138		False
Q8CG64	Mus musculus	Metazoa	494		True
Q96HA9	Homo sapiens	Metazoa	241		False
O44548	Caenorhabditis elegans	Metazoa	877		False
P17789	Drosophila melanogaster	Metazoa	643		False
Q5U458	Mus musculus	Metazoa	559		False
Q26635	Sarcophaga peregrina	Metazoa	354		False
O61016	Crithidia fasciculata	Other	151		False
P53077	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	123		False
Q9B6C8	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	469		True
O04492	Arabidopsis thaliana	Viridiplantae	419		False
P51830	Mus musculus	Metazoa	1353		False
Q12199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356		False
P17353	Spinacia oleracea	Viridiplantae	135		False
O70372	Mus musculus	Metazoa	1122		False
O23403	Arabidopsis thaliana	Viridiplantae	287		False
Q8BVN3	Mus musculus	Metazoa	442		True
Q3T0J3	Bos taurus	Metazoa	251		False
Q9CAP8	Arabidopsis thaliana	Viridiplantae	691		False
Q9P7C8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214		False
Q9U6M1	Leishmania tarentolae	Other	827		False
O15265	Homo sapiens	Metazoa	892		False
P99028	Mus musculus	Metazoa	89		False
Q9LXR8	Arabidopsis thaliana	Viridiplantae	318		False
Q99ML0	Mus musculus	Metazoa	440		False
Q62711	Rattus norvegicus	Metazoa	772		False
P53692	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1140		False
Q961D9	Drosophila melanogaster	Metazoa	1469		False
P53913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	173		False
O82743	Arabidopsis thaliana	Viridiplantae	219		False
J9VQC4	Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487)	Fungi	366		True
P47084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		False
Q84N64	Arabidopsis thaliana	Viridiplantae	777		False
Q62315	Mus musculus	Metazoa	1234		False
P43124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	402		False
P23490	Homo sapiens	Metazoa	312		False
Q8IVH4	Homo sapiens	Metazoa	418		False
O75179	Homo sapiens	Metazoa	2603		False
Q86VD7	Homo sapiens	Metazoa	318		True
F4HYD7	Arabidopsis thaliana	Viridiplantae	467		False
Q9S713	Arabidopsis thaliana	Viridiplantae	562		False
P40337	Homo sapiens	Metazoa	213		False
P17898	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	393		True
Q7Z602	Homo sapiens	Metazoa	305		True
Q9ASX5	Arabidopsis thaliana	Viridiplantae	540		False
Q86YC2	Homo sapiens	Metazoa	1186		False
P59382	Rattus norvegicus	Metazoa	212		False
Q15751	Homo sapiens	Metazoa	4861		False
P14907	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	823		False
P32336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	851		False
Q06214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492		False
P53309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	568		False
Q9QZQ8	Mus musculus	Metazoa	369		False
P29147	Rattus norvegicus	Metazoa	343		False
P49419	Homo sapiens	Metazoa	539		False
P53292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345		False
P08050	Rattus norvegicus	Metazoa	382		True
O43924	Homo sapiens	Metazoa	150		False
A1ZAK1	Drosophila melanogaster	Metazoa	1007		False
Q9SPU7	Arabidopsis thaliana	Viridiplantae	1123		False
Q9P2H5	Homo sapiens	Metazoa	1018		False
P57744	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	87		False
P40155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	199		False
P36036	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203		False
Q9LSW8	Arabidopsis thaliana	Viridiplantae	251		False
Q8VC49	Mus musculus	Metazoa	283		False
A2AG06	Mus musculus	Metazoa	965		False
Q8SXD4	Drosophila melanogaster	Metazoa	1122		False
Q9M7J4	Nicotiana tabacum	Viridiplantae	722		False
K7WDL7	Catharanthus roseus	Viridiplantae	388		False
Q9LEX1	Arabidopsis thaliana	Viridiplantae	510		True
P0C2C1	Rattus norvegicus	Metazoa	160		False
P82919	Bos taurus	Metazoa	196		False
Q9H227	Homo sapiens	Metazoa	469		False
Q8NFQ8	Homo sapiens	Metazoa	470		False
P53941	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290		False
Q12080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		False
Q9CQT2	Mus musculus	Metazoa	265		False
P25054	Homo sapiens	Metazoa	2843		False
Q9DBL9	Mus musculus	Metazoa	351		False
Q02775	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		False
O00291	Homo sapiens	Metazoa	1037		False
Q03702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353		False
P07257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368		False
Q96SI1	Homo sapiens	Metazoa	283		False
Q96T76	Homo sapiens	Metazoa	1030		False
Q9FME4	Arabidopsis thaliana	Viridiplantae	521		False
P83267	Hydrolagus colliei	Metazoa	48		False
Q9UTR8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	712		False
P18544	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	423		False
Q9Y5B8	Homo sapiens	Metazoa	376		False
O14044	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241		False
Q925N4	Mus musculus	Metazoa	235		True
Q949W6	Arabidopsis thaliana	Viridiplantae	485		False
Q8N140	Homo sapiens	Metazoa	333		False
Q69ZK0	Mus musculus	Metazoa	1650		False
P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594		False
P54790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	616		False
Q55GJ6	Dictyostelium discoideum	Other	214		False
Q14209	Homo sapiens	Metazoa	437		False
D3ZKB9	Rattus norvegicus	Metazoa	1072		False
I1RC73	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1)	Fungi	492		False
Q8K330	Mus musculus	Metazoa	649		False
P81122	Mus musculus	Metazoa	1321		False
A0A509AJL3	Plasmodium berghei (strain Anka)	Other	1087		False
Q7Z614	Homo sapiens	Metazoa	316		False
Q68CP9	Homo sapiens	Metazoa	1835		False
O35253	Mus musculus	Metazoa	426		False
Q08774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	242		False
E9Q5G7	Mus musculus	Metazoa	496		False
P38228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	572		False
Q680B9	Arabidopsis thaliana	Viridiplantae	528		False
Q12161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	406		False
P00950	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	247		False
O82239	Arabidopsis thaliana	Viridiplantae	358		False
Q6UL01	Mus musculus	Metazoa	79		False
P24349	Caenorhabditis elegans	Metazoa	1201		False
Q9CQ54	Mus musculus	Metazoa	120		True
Q9USU3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	878		False
P38351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	445		False
Q9EQ28	Mus musculus	Metazoa	462		False
P40576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216		True
P22438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	575		False
P78929	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	137		False
Q9ZST9	Pisum sativum	Viridiplantae	252		False
O95163	Homo sapiens	Metazoa	1332		False
Q9WV69	Mus musculus	Metazoa	405		False
Q6L8Q7	Homo sapiens	Metazoa	609		False
Q9CQR4	Mus musculus	Metazoa	140		False
F4IMQ0	Arabidopsis thaliana	Viridiplantae	288		False
P82925	Bos taurus	Metazoa	386		False
O42637	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	797		False
P70662	Mus musculus	Metazoa	411		False
P53628	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		False
O00910	Dictyostelium discoideum	Other	707		False
Q8TEB9	Homo sapiens	Metazoa	315		True
Q9D1N4	Mus musculus	Metazoa	221		True
P36632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614		False
Q02873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	248		False
Q84VQ1	Arabidopsis thaliana	Viridiplantae	283		False
P19541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	446		False
G5ECU7	Caenorhabditis elegans	Metazoa	319		False
Q9LU93	Arabidopsis thaliana	Viridiplantae	209		False
P19824	Chlamydomonas reinhardtii	Viridiplantae	375		False
Q8W234	Arabidopsis thaliana	Viridiplantae	877		False
P38998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373		False
Q6RFZ7	Rattus norvegicus	Metazoa	1039		False
Q8NFV4	Homo sapiens	Metazoa	306		False
O75081	Homo sapiens	Metazoa	653		False
Q1K6U7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	225		False
P48612	Drosophila melanogaster	Metazoa	395		False
Q581T1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	2167		False
O14246	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	508		False
Q86TV6	Homo sapiens	Metazoa	843		False
O70404	Mus musculus	Metazoa	101		True
Q8NFF5	Homo sapiens	Metazoa	587		False
P0DOY1	Mus musculus	Metazoa	740		False
Q7TPD6	Mus musculus	Metazoa	673		False
Q62100	Mus musculus	Metazoa	101		False
Q9H649	Homo sapiens	Metazoa	340		False
Q03468	Homo sapiens	Metazoa	1493		False
O81787	Arabidopsis thaliana	Viridiplantae	527		False
Q5XVF0	Arabidopsis thaliana	Viridiplantae	666		False
Q09668	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117		False
O82279	Arabidopsis thaliana	Viridiplantae	350		False
Q62924	Rattus norvegicus	Metazoa	1129		False
Q9CAF4	Arabidopsis thaliana	Viridiplantae	1309		False
Q9CPR8	Mus musculus	Metazoa	279		False
Q8TD31	Homo sapiens	Metazoa	782		False
Q9WUB6	Mus musculus	Metazoa	687		True
Q23064	Caenorhabditis elegans	Metazoa	1041		False
P40505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		False
Q93034	Homo sapiens	Metazoa	780		False
Q7XA66	Arabidopsis thaliana	Viridiplantae	242		False
O74356	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	585		False
Q93008	Homo sapiens	Metazoa	2554		False
Q9Y118	Drosophila melanogaster	Metazoa	431		False
P56975	Homo sapiens	Metazoa	720		False
P38297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	855		False
Q9SG86	Arabidopsis thaliana	Viridiplantae	675		False
P28350	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	1093		False
Q13342	Homo sapiens	Metazoa	867		False
F4JF14	Arabidopsis thaliana	Viridiplantae	953		False
Q9VHJ6	Drosophila melanogaster	Metazoa	592		False
Q24143	Drosophila melanogaster	Metazoa	723		False
B6HQN4	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	268		False
Q04408	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483		False
Q9M9X4	Arabidopsis thaliana	Viridiplantae	295		False
Q6NNL9	Arabidopsis thaliana	Viridiplantae	93		False
Q53F19	Homo sapiens	Metazoa	620		False
O14275	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	931		False
P39769	Drosophila melanogaster	Metazoa	1589		False
P07271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	859		False
Q2T9J0	Homo sapiens	Metazoa	566		False
Q9W1R4	Drosophila melanogaster	Metazoa	1395		False
Q3E756	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94		False
Q9LRZ3	Arabidopsis thaliana	Viridiplantae	641		False
Q99177	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341		False
Q5BPF3	Arabidopsis thaliana	Viridiplantae	262		False
Q6YN16	Homo sapiens	Metazoa	418		False
A2YMU2	Oryza sativa subsp. indica	Viridiplantae	266		False
P34250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1132		False
Q9BQG0	Homo sapiens	Metazoa	1328		False
Q9NV70	Homo sapiens	Metazoa	894		False
Q9LJG6	Arabidopsis thaliana	Viridiplantae	193		False
P52435	Homo sapiens	Metazoa	117		False
Q8WU10	Homo sapiens	Metazoa	500		False
Q8K3W3	Mus musculus	Metazoa	698		False
J7M799	Ramazzottius varieornatus	Metazoa	237		False
O23342	Arabidopsis thaliana	Viridiplantae	177		False
Q9Y224	Homo sapiens	Metazoa	244		False
P53277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	215		False
Q5TCS8	Homo sapiens	Metazoa	1911		False
Q86YA3	Homo sapiens	Metazoa	2104		False
Q9LFQ9	Arabidopsis thaliana	Viridiplantae	359		False
P40037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	129		False
Q9BW72	Homo sapiens	Metazoa	106		True
P25642	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146		False
Q9W6V6	Gallus gallus	Metazoa	2705		False
Q9Y6W5	Homo sapiens	Metazoa	498		False
Q15126	Homo sapiens	Metazoa	192		False
Q8TCY9	Homo sapiens	Metazoa	931		False
G5EEW6	Caenorhabditis elegans	Metazoa	427		False
P29144	Homo sapiens	Metazoa	1249		False
Q9D495	Mus musculus	Metazoa	329		False
Q12400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		False
P38863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	823		False
Q07381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	788		False
Q9U2M1	Caenorhabditis elegans	Metazoa	1499		False
Q9DEE9	Gallus gallus	Metazoa	396		False
P41933	Caenorhabditis elegans	Metazoa	457		False
P15873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258		False
Q9BYE2	Homo sapiens	Metazoa	586		False
Q1G3I2	Arabidopsis thaliana	Viridiplantae	117		False
Q7SH52	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	1168		False
Q02204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264		False
P38264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		True
Q15428	Homo sapiens	Metazoa	464		False
E9QAU8	Mus musculus	Metazoa	347		False
Q6P8Z1	Mus musculus	Metazoa	170		False
Q8BIA4	Mus musculus	Metazoa	598		False
Q7LDG7	Homo sapiens	Metazoa	609		False
Q96KQ7	Homo sapiens	Metazoa	1210		False
Q03036	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179		False
P40318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1319		False
O43137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	85		False
B5X582	Arabidopsis thaliana	Viridiplantae	709		False
Q06184	Euplotes crassus	Other	446		False
Q9LPV5	Arabidopsis thaliana	Viridiplantae	502		True
Q93VR9	Arabidopsis thaliana	Viridiplantae	326		False
Q96JX3	Homo sapiens	Metazoa	654		True
Q9SWA6	Arabidopsis thaliana	Viridiplantae	432		False
Q6GQQ9	Homo sapiens	Metazoa	843		False
Q0WVH0	Arabidopsis thaliana	Viridiplantae	594		False
Q8WVC0	Homo sapiens	Metazoa	666		False
P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507		False
Q1K8E0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	256		False
Q9M280	Arabidopsis thaliana	Viridiplantae	116		False
Q96SY0	Homo sapiens	Metazoa	518		False
O43739	Homo sapiens	Metazoa	400		False
Q8VY15	Arabidopsis thaliana	Viridiplantae	899		False
Q8NBT2	Homo sapiens	Metazoa	197		False
O94650	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	73		False
Q80TH2	Mus musculus	Metazoa	1402		False
Q15637	Homo sapiens	Metazoa	639		False
Q8BL80	Mus musculus	Metazoa	702		False
Q96B26	Homo sapiens	Metazoa	276		False
Q02783	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413		False
Q945P1	Arabidopsis thaliana	Viridiplantae	317		False
Q923W1	Mus musculus	Metazoa	853		False
Q7SCZ3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	218		False
F4INA9	Arabidopsis thaliana	Viridiplantae	973		False
Q642G4	Rattus norvegicus	Metazoa	376		False
P10803	Secale cereale	Viridiplantae	353		True
Q04613	Arabidopsis thaliana	Viridiplantae	192		True
Q8TDB6	Homo sapiens	Metazoa	740		False
Q91XJ0	Rattus norvegicus	Metazoa	401		False
P38786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		False
Q9LS90	Arabidopsis thaliana	Viridiplantae	460		False
Q8VZQ4	Arabidopsis thaliana	Viridiplantae	536		False
Q9SLJ2	Arabidopsis thaliana	Viridiplantae	98		False
Q9NZN9	Homo sapiens	Metazoa	384		False
Q9P013	Homo sapiens	Metazoa	229		False
F2Z699	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	582		False
Q8IUY3	Homo sapiens	Metazoa	354		False
Q1K5G1	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	320		False
P34160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	861		False
Q9UT72	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	205		False
P38927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245		False
F4IAT8	Arabidopsis thaliana	Viridiplantae	326		False
P29590	Homo sapiens	Metazoa	882		False
Q96RS6	Homo sapiens	Metazoa	583		False
Q5SS91	Mus musculus	Metazoa	320		True
Q8WUX2	Homo sapiens	Metazoa	184		False
