Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
P53914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1056		0	FALSE	2
Q02931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	896		0	FALSE	3
Q9WUU9	Mus musculus	Metazoa	1971		0	FALSE	3
P93830	Arabidopsis thaliana	Viridiplantae	229		0	FALSE	4
Q8W593	Arabidopsis thaliana	Viridiplantae	350		0	FALSE	1
P00560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	416		0	FALSE	3
Q681Y3	Arabidopsis thaliana	Viridiplantae	432		0	FALSE	1
Q8LGJ5	Arabidopsis thaliana	Viridiplantae	276		0	FALSE	0
Q9VLJ8	Drosophila melanogaster	Metazoa	453		0	FALSE	2
P20659	Drosophila melanogaster	Metazoa	3726		0	FALSE	3
Q9DAG5	Mus musculus	Metazoa	247		0	FALSE	2
Q6IQ55	Homo sapiens	Metazoa	1244		0	FALSE	3
Q95749	Arabidopsis thaliana	Viridiplantae	556		0	FALSE	2
A8MZ59	Homo sapiens	Metazoa	198		0	FALSE	3
Q65ZG8	Caenorhabditis elegans	Metazoa	597		0	FALSE	1
Q8IXH6	Homo sapiens	Metazoa	220		0	FALSE	2
P40237	Mus musculus	Metazoa	266		0	TRUE	3
Q01981	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	416		0	FALSE	0
Q96MH2	Homo sapiens	Metazoa	286		0	FALSE	0
P56785	Arabidopsis thaliana	Viridiplantae	1786		0	TRUE	1
Q12035	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	217		0	FALSE	2
Q9M0V3	Arabidopsis thaliana	Viridiplantae	1088		0	FALSE	2
Q9C0C6	Homo sapiens	Metazoa	399		0	FALSE	2
Q9VEN1	Drosophila melanogaster	Metazoa	2210		0	FALSE	1
P53718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	249		0	FALSE	0
P15382	Homo sapiens	Metazoa	129		0	TRUE	0
Q8N4Q1	Homo sapiens	Metazoa	142		0	FALSE	2
V5IM94	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	141		0	FALSE	3
P40050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	688		0	FALSE	4
Q9WTZ9	Mus musculus	Metazoa	124		0	FALSE	3
Q9BY41	Homo sapiens	Metazoa	377		0	FALSE	4
Q04891	Mus musculus	Metazoa	613		0	FALSE	3
O94603	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	948		0	FALSE	2
P25582	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	841		0	FALSE	1
O49621	Arabidopsis thaliana	Viridiplantae	526		0	TRUE	4
O70597	Rattus norvegicus	Metazoa	246		0	FALSE	0
Q9C882	Arabidopsis thaliana	Viridiplantae	587		0	FALSE	0
O09053	Mus musculus	Metazoa	1401		0	FALSE	3
Q9CPX8	Mus musculus	Metazoa	56		0	TRUE	0
Q8WW12	Homo sapiens	Metazoa	178		0	FALSE	3
Q9STX3	Arabidopsis thaliana	Viridiplantae	151		0	FALSE	2
P13489	Homo sapiens	Metazoa	461		0	FALSE	2
Q15025	Homo sapiens	Metazoa	636		0	FALSE	2
P98078	Mus musculus	Metazoa	766		0	FALSE	1
O81851	Arabidopsis thaliana	Viridiplantae	304		0	FALSE	3
Q15916	Homo sapiens	Metazoa	424		0	FALSE	4
Q23405	Caenorhabditis elegans	Metazoa	842		0	FALSE	4
Q61884	Mus musculus	Metazoa	491		0	FALSE	1
Q9FNN6	Arabidopsis thaliana	Viridiplantae	298		0	FALSE	0
Q12298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		0	FALSE	3
Q9Y5Q9	Homo sapiens	Metazoa	886		0	FALSE	2
P03903	Mus musculus	Metazoa	98		0	TRUE	4
Q8NCE0	Homo sapiens	Metazoa	465		0	FALSE	0
P36130	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	643		0	FALSE	0
P33301	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	854		0	FALSE	0
Q9SYM5	Arabidopsis thaliana	Viridiplantae	669		0	FALSE	4
Q9UBQ5	Homo sapiens	Metazoa	218		0	FALSE	4
P41696	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	914		0	FALSE	4
Q8IEG9	Plasmodium falciparum (isolate 3D7)	Other	408		0	FALSE	0
Q8L785	Arabidopsis thaliana	Viridiplantae	1067		0	FALSE	2
Q8IX21	Homo sapiens	Metazoa	1173		0	FALSE	2
Q86V20	Homo sapiens	Metazoa	835		0	FALSE	3
P83369	Homo sapiens	Metazoa	360		0	FALSE	2
Q9CR61	Mus musculus	Metazoa	137		0	FALSE	2
P80217	Homo sapiens	Metazoa	286		0	FALSE	4
E3Q1H1	Trypanosoma brucei brucei	Other	147		0	FALSE	4
Q12223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238		0	FALSE	2
P01880	Homo sapiens	Metazoa	430		0	FALSE	2
Q9FLY0	Arabidopsis thaliana	Viridiplantae	325		0	FALSE	4
Q6PIZ9	Homo sapiens	Metazoa	186		0	TRUE	3
Q9BSJ5	Homo sapiens	Metazoa	609		0	FALSE	4
Q06525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465		0	FALSE	3
P33897	Homo sapiens	Metazoa	745		0	FALSE	0
P47929	Homo sapiens	Metazoa	136		0	FALSE	2
P40202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	249		0	FALSE	1
Q9DCR4	Mus musculus	Metazoa	169		0	FALSE	0
Q8IS16	Dictyostelium discoideum	Other	604		0	FALSE	1
Q9Y6K0	Homo sapiens	Metazoa	416		0	TRUE	4
B6HLT9	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	357		0	FALSE	0
P24345	Zea mays	Viridiplantae	359		0	FALSE	0
Q91YE5	Mus musculus	Metazoa	1889		0	FALSE	4
Q9NRY2	Homo sapiens	Metazoa	104		0	FALSE	3
P30419	Homo sapiens	Metazoa	496		0	FALSE	0
Q01453	Homo sapiens	Metazoa	160		0	TRUE	2
Q9H079	Homo sapiens	Metazoa	304		0	FALSE	0
P19525	Homo sapiens	Metazoa	551		0	FALSE	0
O75127	Homo sapiens	Metazoa	700		0	FALSE	2
O43502	Homo sapiens	Metazoa	376		0	FALSE	2
P37840	Homo sapiens	Metazoa	140		0	FALSE	1
Q9MAB9	Arabidopsis thaliana	Viridiplantae	117		0	FALSE	1
Q9P6M3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210		0	FALSE	0
Q6IN84	Homo sapiens	Metazoa	353		0	FALSE	4
P09108	Tetronarce californica	Metazoa	412		0	FALSE	4
P42841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465		0	FALSE	0
Q9UTQ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	523		0	FALSE	0
A8MUP2	Homo sapiens	Metazoa	240		0	FALSE	1
F4JT76	Arabidopsis thaliana	Viridiplantae	1034		0	FALSE	4
A0A5K1K8Y8	Plasmodium falciparum (isolate 3D7)	Other	372		0	FALSE	1
Q10429	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	875		0	FALSE	0
Q9HD34	Homo sapiens	Metazoa	91		0	FALSE	2
P40546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		0	FALSE	2
Q54HC6	Dictyostelium discoideum	Other	1460		0	FALSE	2
P40567	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		0	FALSE	1
P40506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365		0	FALSE	0
Q9UGI0	Homo sapiens	Metazoa	708		0	FALSE	4
A2XFC1	Oryza sativa subsp. indica	Viridiplantae	442		0	FALSE	0
Q8W4J9	Arabidopsis thaliana	Viridiplantae	908		0	FALSE	0
Q5GH67	Mus musculus	Metazoa	647		0	FALSE	2
Q19969	Caenorhabditis elegans	Metazoa	514		0	FALSE	0
Q95TS5	Drosophila melanogaster	Metazoa	654		0	FALSE	3
P41247	Homo sapiens	Metazoa	253		0	FALSE	4
Q6EPW7	Oryza sativa subsp. japonica	Viridiplantae	233		0	FALSE	3
Q9BY12	Homo sapiens	Metazoa	1400		0	FALSE	3
Q9GZZ9	Homo sapiens	Metazoa	404		0	FALSE	3
Q90941	Gallus gallus	Metazoa	1633		0	FALSE	3
Q4V7H8	Xenopus laevis	Metazoa	296		0	FALSE	0
Q02614	Mus musculus	Metazoa	308		0	FALSE	4
Q9H1K0	Homo sapiens	Metazoa	784		0	FALSE	3
Q9BXJ9	Homo sapiens	Metazoa	866		0	FALSE	2
Q91X52	Mus musculus	Metazoa	244		0	FALSE	2
A2RVJ8	Arabidopsis thaliana	Viridiplantae	434		0	FALSE	4
Q7XBS0	Oryza sativa subsp. japonica	Viridiplantae	721		0	TRUE	2
Q9LFA3	Arabidopsis thaliana	Viridiplantae	434		0	FALSE	3
Q42588	Arabidopsis thaliana	Viridiplantae	314		0	FALSE	3
Q9P032	Homo sapiens	Metazoa	175		0	FALSE	2
Q29RF7	Homo sapiens	Metazoa	1337		0	FALSE	1
Q8LPU4	Zea mays	Viridiplantae	468		0	FALSE	1
Q9ESX4	Mus musculus	Metazoa	241		0	FALSE	3
Q91ZW6	Rattus norvegicus	Metazoa	421		0	FALSE	0
P40064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1391		0	FALSE	1
Q08961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	583		0	FALSE	3
P18847	Homo sapiens	Metazoa	181		0	FALSE	0
Q10167	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	73		0	FALSE	2
O02073	Caenorhabditis elegans	Metazoa	376		0	FALSE	4
P38281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316		0	FALSE	4
Q6ZWQ0	Mus musculus	Metazoa	6874		0	FALSE	4
D4AEP3	Rattus norvegicus	Metazoa	194		0	TRUE	0
Q9W1C5	Drosophila melanogaster	Metazoa	2053		0	FALSE	4
P49773	Homo sapiens	Metazoa	126		0	FALSE	3
Q9HCC0	Homo sapiens	Metazoa	563		0	FALSE	1
Q8GZ79	Arabidopsis thaliana	Viridiplantae	274		0	FALSE	1
P07276	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1031		0	FALSE	1
Q8BK30	Mus musculus	Metazoa	104		0	FALSE	0
D3YXJ0	Mus musculus	Metazoa	1211		0	FALSE	2
O43715	Homo sapiens	Metazoa	76		0	FALSE	2
Q15080	Homo sapiens	Metazoa	339		0	FALSE	2
Q10PI9	Oryza sativa subsp. japonica	Viridiplantae	459		0	FALSE	4
Q6NKS4	Arabidopsis thaliana	Viridiplantae	258		0	FALSE	0
Q04728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441		0	FALSE	4
Q9LSB9	Arabidopsis thaliana	Viridiplantae	755		0	FALSE	1
Q9VN60	Drosophila melanogaster	Metazoa	278		0	FALSE	1
Q8R2K4	Mus musculus	Metazoa	616		0	FALSE	1
Q9UKK3	Homo sapiens	Metazoa	1724		0	FALSE	1
Q9UUJ4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	333		0	FALSE	0
Q6UJY2	Mus musculus	Metazoa	1175		0	TRUE	1
Q93ZF6	Arabidopsis thaliana	Viridiplantae	153		0	FALSE	4
Q39161	Arabidopsis thaliana	Viridiplantae	586		0	FALSE	4
Q5TKA1	Homo sapiens	Metazoa	542		0	FALSE	0
Q42564	Arabidopsis thaliana	Viridiplantae	287		0	FALSE	2
Q8BZ97	Mus musculus	Metazoa	688		0	FALSE	3
Q9BZR8	Homo sapiens	Metazoa	327		0	FALSE	3
P0C627	Rattus norvegicus	Metazoa	331		0	FALSE	3
Q9Y5S8	Homo sapiens	Metazoa	564		0	TRUE	2
P80002	Sepia officinalis	Metazoa	77		0	FALSE	4
Q8SWX0	Drosophila melanogaster	Metazoa	167		0	FALSE	4
O13329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		0	FALSE	0
Q9SRP6	Arabidopsis thaliana	Viridiplantae	194		0	FALSE	4
P32767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1081		0	FALSE	4
Q9H211	Homo sapiens	Metazoa	546		0	FALSE	4
P37263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153		0	FALSE	4
Q6RI63	Mus musculus	Metazoa	786		0	FALSE	0
Q26366	Drosophila melanogaster	Metazoa	453		0	FALSE	2
O24370	Solanum tuberosum	Viridiplantae	899		0	FALSE	3
Q09967	Caenorhabditis elegans	Metazoa	551		0	TRUE	2
Q8BWY7	Mus musculus	Metazoa	342		0	TRUE	4
Q9ER99	Mus musculus	Metazoa	582		0	FALSE	1
P70279	Mus musculus	Metazoa	355		0	FALSE	1
O48721	Arabidopsis thaliana	Viridiplantae	321		0	FALSE	0
Q05860	Mus musculus	Metazoa	1466		0	FALSE	3
Q9I7K0	Drosophila melanogaster	Metazoa	208		0	FALSE	2
P22936	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367		0	FALSE	1
Q96GR2	Homo sapiens	Metazoa	724		0	FALSE	3
Q585P3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	524		0	FALSE	3
Q80WK2	Mus musculus	Metazoa	128		0	TRUE	2
C8VSZ2	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	370		0	FALSE	1
F4ITM1	Arabidopsis thaliana	Viridiplantae	398		0	FALSE	2
O65680	Arabidopsis thaliana	Viridiplantae	279		0	FALSE	2
P30044	Homo sapiens	Metazoa	214		0	FALSE	3
P33307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960		0	FALSE	4
Q9USH6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	204		0	FALSE	0
O13046	Xenopus laevis	Metazoa	1127		0	FALSE	2
P55197	Homo sapiens	Metazoa	1068		0	FALSE	4
Q96DN6	Homo sapiens	Metazoa	1003		0	FALSE	4
Q9XFT3	Arabidopsis thaliana	Viridiplantae	224		0	FALSE	1
Q9CWR0	Mus musculus	Metazoa	618		0	FALSE	0
O08586	Mus musculus	Metazoa	403		0	FALSE	0
Q8RWD5	Arabidopsis thaliana	Viridiplantae	577		0	FALSE	3
Q9SYM0	Arabidopsis thaliana	Viridiplantae	333		0	FALSE	3
Q9NR83	Homo sapiens	Metazoa	387		0	FALSE	0
P34418	Caenorhabditis elegans	Metazoa	943		0	FALSE	2
Q9BXW9	Homo sapiens	Metazoa	1451		0	FALSE	0
G1UH28	Punica granatum	Viridiplantae	299		0	FALSE	2
Q8K0U4	Mus musculus	Metazoa	675		0	FALSE	0
P40043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161		0	FALSE	2
O55028	Mus musculus	Metazoa	412		0	FALSE	0
Q8ST83	Drosophila melanogaster	Metazoa	520		0	FALSE	0
Q9LZD0	Arabidopsis thaliana	Viridiplantae	599		0	FALSE	1
Q02983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363		0	FALSE	0
Q9W1F4	Drosophila melanogaster	Metazoa	616		0	FALSE	0
Q8RXH2	Arabidopsis thaliana	Viridiplantae	716		0	FALSE	3
P34078	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463		0	FALSE	2
P49017	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307		0	FALSE	2
Q8CH19	Mus musculus	Metazoa	720		0	FALSE	2
Q9VUF8	Drosophila melanogaster	Metazoa	540		0	FALSE	1
Q9NQC3	Homo sapiens	Metazoa	1192		0	FALSE	4
Q9M3B8	Arabidopsis thaliana	Viridiplantae	597		0	FALSE	2
A0A075TMP0	Penicillium expansum	Fungi	340		0	FALSE	3
Q9P790	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	316		0	FALSE	3
Q96DZ5	Homo sapiens	Metazoa	547		0	FALSE	4
O14131	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	442		0	FALSE	0
P36162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	FALSE	0
Q9Y6K5	Homo sapiens	Metazoa	1087		0	FALSE	0
Q07589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356		0	FALSE	1
Q8IM30	Plasmodium falciparum (isolate 3D7)	Other	608		0	FALSE	0
P03069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		0	FALSE	3
P50536	Drosophila melanogaster	Metazoa	512		0	FALSE	1
Q15697	Homo sapiens	Metazoa	407		0	FALSE	4
Q7XR83	Oryza sativa subsp. japonica	Viridiplantae	333		0	FALSE	4
P52792	Mus musculus	Metazoa	465		0	FALSE	4
P38749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	330		0	FALSE	2
Q96EA4	Homo sapiens	Metazoa	605		0	FALSE	3
Q969X6	Homo sapiens	Metazoa	686		0	FALSE	1
Q06667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281		0	FALSE	2
Q00922	Candida boidinii	Fungi	663		0	FALSE	4
Q9H5V7	Homo sapiens	Metazoa	419		0	FALSE	4
Q42876	Solanum lycopersicum	Viridiplantae	569		0	FALSE	1
Q9Y2Q9	Homo sapiens	Metazoa	187		0	FALSE	4
F4JS25	Arabidopsis thaliana	Viridiplantae	1052		0	FALSE	3
Q5TA50	Homo sapiens	Metazoa	214		0	FALSE	1
F4JGZ1	Arabidopsis thaliana	Viridiplantae	1278		0	FALSE	2
Q5SWZ9	Mus musculus	Metazoa	221		0	TRUE	2
Q9P797	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1142		0	FALSE	4
Q4FZC9	Mus musculus	Metazoa	975		0	FALSE	3
P22224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	910		0	FALSE	4
Q4L180	Homo sapiens	Metazoa	1135		0	FALSE	4
Q0IIM8	Homo sapiens	Metazoa	1120		0	FALSE	2
A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644		0	FALSE	1
Q9LG05	Arabidopsis thaliana	Viridiplantae	485		0	FALSE	3
P47821	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	323		0	FALSE	4
Q86WQ0	Homo sapiens	Metazoa	139		0	FALSE	1
P38790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280		0	FALSE	0
A1L167	Homo sapiens	Metazoa	161		0	FALSE	3
Q86TC9	Homo sapiens	Metazoa	1320		0	FALSE	3
Q07896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663		0	FALSE	1
Q8NGU9	Homo sapiens	Metazoa	434		0	TRUE	2
Q9VY78	Drosophila melanogaster	Metazoa	260		0	TRUE	4
Q5H9F3	Homo sapiens	Metazoa	1785		0	FALSE	4
Q9FNE9	Arabidopsis thaliana	Viridiplantae	349		0	FALSE	1
P0CT58	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	130		0	FALSE	4
Q9DAD6	Mus musculus	Metazoa	137		0	FALSE	4
P55160	Homo sapiens	Metazoa	1127		0	FALSE	4
P46414	Mus musculus	Metazoa	197		0	FALSE	4
O43909	Homo sapiens	Metazoa	919		0	TRUE	4
Q3SYG4	Homo sapiens	Metazoa	887		0	FALSE	1
P42731	Arabidopsis thaliana	Viridiplantae	629		0	FALSE	4
Q07053	Crithidia fasciculata	Other	128		0	FALSE	3
Q8IG69	Caenorhabditis elegans	Metazoa	100		0	FALSE	2
O94494	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	277		0	FALSE	2
Q8WV41	Homo sapiens	Metazoa	574		0	FALSE	1
Q9VZL5	Drosophila melanogaster	Metazoa	485		0	FALSE	0
P49107	Arabidopsis thaliana	Viridiplantae	171		0	FALSE	3
Q8LAJ7	Arabidopsis thaliana	Viridiplantae	292		0	FALSE	3
Q09M02	Mus musculus	Metazoa	886		0	FALSE	3
O13848	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	284		0	FALSE	1
O23166	Arabidopsis thaliana	Viridiplantae	261		0	FALSE	0
Q6VVB1	Homo sapiens	Metazoa	395		0	FALSE	4
Q10302	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	646		0	FALSE	4
Q8I4V8	Plasmodium falciparum (isolate 3D7)	Other	304		0	FALSE	4
Q12393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		0	FALSE	4
Q02457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	562		0	FALSE	1
P23180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465		0	FALSE	4
O00287	Homo sapiens	Metazoa	272		0	FALSE	4
Q04431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385		0	FALSE	0
Q04178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221		0	FALSE	2
P43557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	207		0	FALSE	3
P82658	Arabidopsis thaliana	Viridiplantae	229		0	FALSE	4
B2CW77	Homo sapiens	Metazoa	178		0	FALSE	2
Q60EX7	Oryza sativa subsp. japonica	Viridiplantae	1128		0	FALSE	2
Q07243	Mus musculus	Metazoa	675		0	FALSE	4
Q9SA98	Arabidopsis thaliana	Viridiplantae	345		0	FALSE	1
Q5ND04	Mus musculus	Metazoa	624		0	FALSE	3
P83213	Bolinus brandaris	Metazoa	54		0	FALSE	2
Q6P587	Homo sapiens	Metazoa	221		0	FALSE	4
P48608	Drosophila melanogaster	Metazoa	1091		0	FALSE	4
Q93YU5	Arabidopsis thaliana	Viridiplantae	1053		0	FALSE	1
Q99LY9	Mus musculus	Metazoa	106		0	FALSE	1
Q7XJJ7	Arabidopsis thaliana	Viridiplantae	607		0	FALSE	4
Q149M9	Homo sapiens	Metazoa	1564		0	FALSE	4
Q9Y3Y2	Homo sapiens	Metazoa	248		0	FALSE	4
P38631	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1876		0	FALSE	0
O80796	Arabidopsis thaliana	Viridiplantae	330		0	FALSE	1
Q9VEX5	Drosophila melanogaster	Metazoa	689		0	FALSE	4
O13838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	371		0	FALSE	0
Q54XY4	Dictyostelium discoideum	Other	1582		0	FALSE	4
Q9UBF9	Homo sapiens	Metazoa	498		0	FALSE	3
P30429	Caenorhabditis elegans	Metazoa	549		0	FALSE	4
Q9BT78	Homo sapiens	Metazoa	406		0	FALSE	1
P38060	Mus musculus	Metazoa	325		0	FALSE	0
Q9P7X2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	533		0	FALSE	4
Q5BJF2	Homo sapiens	Metazoa	176		0	TRUE	1
Q6T4R5	Homo sapiens	Metazoa	1651		0	FALSE	4
Q60864	Mus musculus	Metazoa	543		0	FALSE	1
Q42342	Arabidopsis thaliana	Viridiplantae	134		0	FALSE	0
F4JHA2	Arabidopsis thaliana	Viridiplantae	884		0	FALSE	2
Q8VCF0	Mus musculus	Metazoa	503		0	FALSE	3
P93045	Arabidopsis thaliana	Viridiplantae	240		0	FALSE	3
Q9H1I8	Homo sapiens	Metazoa	757		0	FALSE	4
Q24JJ9	Arabidopsis thaliana	Viridiplantae	361		0	FALSE	2
P60002	Homo sapiens	Metazoa	83		0	FALSE	3
Q9XII1	Arabidopsis thaliana	Viridiplantae	307		0	FALSE	1
Q5GH62	Mus musculus	Metazoa	373		0	TRUE	2
Q9BQ48	Homo sapiens	Metazoa	92		0	FALSE	2
Q0WLC6	Arabidopsis thaliana	Viridiplantae	1089		0	FALSE	3
P13498	Homo sapiens	Metazoa	195		0	TRUE	1
Q09715	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614		0	FALSE	0
Q8N9A8	Homo sapiens	Metazoa	125		0	TRUE	4
Q9UBF8	Homo sapiens	Metazoa	816		0	FALSE	4
Q9UUM2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	971		0	FALSE	3
Q08931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	FALSE	4
P40631	Tetrahymena thermophila (strain SB210)	Other	633		0	FALSE	4
Q03525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211		0	FALSE	4
P35729	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1037		0	FALSE	4
Q8RY95	Arabidopsis thaliana	Viridiplantae	1035		0	FALSE	2
Q60674	Mus musculus	Metazoa	576		0	FALSE	2
Q94AR8	Arabidopsis thaliana	Viridiplantae	509		0	FALSE	4
Q8CGB3	Mus musculus	Metazoa	1411		0	FALSE	2
P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	661		0	TRUE	0
P06180	Xenopus laevis	Metazoa	590		0	FALSE	0
Q12158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	566		0	FALSE	0
P43449	Gallus gallus	Metazoa	395		0	FALSE	0
P82249	Spinacia oleracea	Viridiplantae	130		0	FALSE	3
Q9Y6H6	Homo sapiens	Metazoa	103		0	TRUE	2
O60158	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	432		0	FALSE	4
O74461	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	235		0	FALSE	2
Q96IZ0	Homo sapiens	Metazoa	340		0	FALSE	0
Q9JIB0	Mus musculus	Metazoa	185		0	FALSE	1
O76616	Caenorhabditis elegans	Metazoa	307		0	FALSE	4
P53369	Rattus norvegicus	Metazoa	156		0	FALSE	0
P30902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	174		0	FALSE	2
Q9GZR7	Homo sapiens	Metazoa	859		0	FALSE	4
Q09750	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1522		0	FALSE	4
P04117	Mus musculus	Metazoa	132		0	FALSE	0
Q9VPT4	Drosophila melanogaster	Metazoa	717		0	FALSE	0
P35169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2470		0	FALSE	3
P14064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554		0	FALSE	3
P48732	Arabidopsis thaliana	Viridiplantae	543		0	FALSE	3
P42846	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	591		0	FALSE	4
P97609	Rattus norvegicus	Metazoa	1181		0	FALSE	1
Q9XH32	Spinacia oleracea	Viridiplantae	222		0	FALSE	4
Q9LHE5	Arabidopsis thaliana	Viridiplantae	309		0	FALSE	0
Q39129	Arabidopsis thaliana	Viridiplantae	120		0	FALSE	0
B1AWL2	Mus musculus	Metazoa	2495		0	FALSE	3
Q94B35	Arabidopsis thaliana	Viridiplantae	466		0	FALSE	1
B7Z0L8	Drosophila melanogaster	Metazoa	178		0	FALSE	0
G5EF68	Caenorhabditis elegans	Metazoa	648		0	FALSE	0
P53004	Homo sapiens	Metazoa	296		0	FALSE	3
P22315	Mus musculus	Metazoa	422		0	FALSE	0
O08608	Mus musculus	Metazoa	189		0	FALSE	0
Q8BVZ5	Mus musculus	Metazoa	266		0	FALSE	4
Q9VGZ5	Drosophila melanogaster	Metazoa	698		0	FALSE	0
