Accession	Organism	Kingdom	Sequence length	SP cleavage	N-term transmembrane
Q53GL7	Homo sapiens	Metazoa	1025		False
Q5T4T6	Homo sapiens	Metazoa	812		False
Q69383	Homo sapiens	Metazoa	105		False
Q12905	Homo sapiens	Metazoa	390		False
Q5F1R6	Homo sapiens	Metazoa	531		False
Q9H6F5	Homo sapiens	Metazoa	360		False
Q96N21	Homo sapiens	Metazoa	525		False
Q8NB16	Homo sapiens	Metazoa	471		False
A4D1E9	Homo sapiens	Metazoa	387		False
Q68CJ6	Homo sapiens	Metazoa	796		False
Q92878	Homo sapiens	Metazoa	1312		False
Q9H5U6	Homo sapiens	Metazoa	513		False
Q86W26	Homo sapiens	Metazoa	655		False
Q9H7D0	Homo sapiens	Metazoa	1870		False
Q8TF01	Homo sapiens	Metazoa	805		False
P08708	Homo sapiens	Metazoa	135		False
Q5HYJ3	Homo sapiens	Metazoa	339		False
Q9UGY1	Homo sapiens	Metazoa	213		False
Q13685	Homo sapiens	Metazoa	434		False
Q9BUZ4	Homo sapiens	Metazoa	470		False
Q4KMP7	Homo sapiens	Metazoa	808		False
P16383	Homo sapiens	Metazoa	781		False
O60356	Homo sapiens	Metazoa	82		False
P23526	Homo sapiens	Metazoa	432		False
Q15004	Homo sapiens	Metazoa	111		False
Q9GZL7	Homo sapiens	Metazoa	423		False
Q8N695	Homo sapiens	Metazoa	610		True
Q8WY64	Homo sapiens	Metazoa	445		False
P54198	Homo sapiens	Metazoa	1017		False
Q9C0C2	Homo sapiens	Metazoa	1729		False
O75531	Homo sapiens	Metazoa	89		False
Q9NZM5	Homo sapiens	Metazoa	478		False
Q9UKA1	Homo sapiens	Metazoa	691		False
Q9HAP6	Homo sapiens	Metazoa	207		False
Q8N9M5	Homo sapiens	Metazoa	508		False
Q92982	Homo sapiens	Metazoa	152		True
Q96P65	Homo sapiens	Metazoa	431		True
Q9UDY8	Homo sapiens	Metazoa	824		False
Q0VD83	Homo sapiens	Metazoa	1097		False
Q9BY07	Homo sapiens	Metazoa	1137		False
P48995	Homo sapiens	Metazoa	793		False
Q9NW15	Homo sapiens	Metazoa	660		False
Q15811	Homo sapiens	Metazoa	1721		False
O43193	Homo sapiens	Metazoa	412		True
Q86TG1	Homo sapiens	Metazoa	271		True
Q9UBH6	Homo sapiens	Metazoa	696		False
Q9Y4L5	Homo sapiens	Metazoa	304		False
Q02447	Homo sapiens	Metazoa	781		False
Q9BT92	Homo sapiens	Metazoa	498		False
Q6P4Q7	Homo sapiens	Metazoa	775		False
Q8NC24	Homo sapiens	Metazoa	303		True
Q86WB7	Homo sapiens	Metazoa	457		True
O96006	Homo sapiens	Metazoa	694		False
Q99607	Homo sapiens	Metazoa	663		False
O95990	Homo sapiens	Metazoa	144		False
Q9H6E5	Homo sapiens	Metazoa	874		False
Q9NW75	Homo sapiens	Metazoa	528		False
Q9Y3S2	Homo sapiens	Metazoa	320		False
P29965	Homo sapiens	Metazoa	261		True
O14893	Homo sapiens	Metazoa	280		False
O14894	Homo sapiens	Metazoa	197		True
Q6P1K2	Homo sapiens	Metazoa	205		False
Q5TAX3	Homo sapiens	Metazoa	1644		False
O43813	Homo sapiens	Metazoa	399		False
Q8NHU3	Homo sapiens	Metazoa	365		True
Q9UKV3	Homo sapiens	Metazoa	1341		False
C9JLW8	Homo sapiens	Metazoa	97		False
Q9NPJ4	Homo sapiens	Metazoa	139		False
Q8TDM6	Homo sapiens	Metazoa	1919		False
Q9Y3C5	Homo sapiens	Metazoa	154		False
Q8N2Z9	Homo sapiens	Metazoa	138		False
Q6P2E9	Homo sapiens	Metazoa	1401		False
Q969F2	Homo sapiens	Metazoa	451		False
Q86VE9	Homo sapiens	Metazoa	423		True
Q9NYF8	Homo sapiens	Metazoa	920		False
Q9Y266	Homo sapiens	Metazoa	331		False
P45974	Homo sapiens	Metazoa	858		False
P80299	Rattus norvegicus	Metazoa	554		False
Q00055	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	391		False
Q9BY10	Homo sapiens	Metazoa	475		True
Q92624	Homo sapiens	Metazoa	585		False
Q9HBM0	Homo sapiens	Metazoa	779		False
Q9BXP2	Homo sapiens	Metazoa	914		True
P23276	Homo sapiens	Metazoa	732		True
Q9UFC0	Homo sapiens	Metazoa	647		False
Q32P44	Homo sapiens	Metazoa	896		False
Q9Y2I1	Homo sapiens	Metazoa	1504		False
Q9NY25	Homo sapiens	Metazoa	188		True
A0FGR9	Homo sapiens	Metazoa	886		True
O75056	Homo sapiens	Metazoa	442		False
Q02223	Homo sapiens	Metazoa	184		True
Q99732	Homo sapiens	Metazoa	161		False
Q96G30	Homo sapiens	Metazoa	205		True
Q9H307	Homo sapiens	Metazoa	717		False
Q8N1N2	Homo sapiens	Metazoa	210		False
O14827	Homo sapiens	Metazoa	1237		False
Q7TSD4	Mus musculus	Metazoa	393		False
Q9NSA0	Homo sapiens	Metazoa	550		True
Q9NRP7	Homo sapiens	Metazoa	1315		False
Q9NYX4	Homo sapiens	Metazoa	217		True
Q5MIZ7	Homo sapiens	Metazoa	849		False
Q9ULP9	Homo sapiens	Metazoa	559		False
P02786	Homo sapiens	Metazoa	760		True
Q9UIJ5	Homo sapiens	Metazoa	367		True
Q8TEW0	Homo sapiens	Metazoa	1356		False
Q96RL7	Homo sapiens	Metazoa	3174		False
Q13772	Homo sapiens	Metazoa	614		False
Q6UXY1	Homo sapiens	Metazoa	529		False
Q9P2P6	Homo sapiens	Metazoa	4700		False
P0DJI6	Mus musculus	Metazoa	106		False
Q9FG13	Arabidopsis thaliana	Viridiplantae	329		False
Q9FN03	Arabidopsis thaliana	Viridiplantae	440		False
Q9UK41	Homo sapiens	Metazoa	221		False
P31228	Bos taurus	Metazoa	341		False
Q9NZP6	Homo sapiens	Metazoa	1156		False
O95466	Homo sapiens	Metazoa	1100		False
Q15125	Homo sapiens	Metazoa	230		True
Q7Z7K6	Homo sapiens	Metazoa	275		False
Q9UN81	Homo sapiens	Metazoa	338		False
O43597	Homo sapiens	Metazoa	315		False
Q8WUM0	Homo sapiens	Metazoa	1156		False
Q8NDZ2	Homo sapiens	Metazoa	872		False
Q96PP9	Homo sapiens	Metazoa	640		False
Q38845	Arabidopsis thaliana	Viridiplantae	588		False
Q94BQ3	Arabidopsis thaliana	Viridiplantae	757		False
Q10FT0	Oryza sativa subsp. japonica	Viridiplantae	824		False
Q99K90	Mus musculus	Metazoa	693		False
O94868	Homo sapiens	Metazoa	740		False
O15431	Homo sapiens	Metazoa	190		True
Q9NX76	Homo sapiens	Metazoa	183		True
Q93096	Homo sapiens	Metazoa	173		False
Q9H816	Homo sapiens	Metazoa	532		False
Q8NF91	Homo sapiens	Metazoa	8797		False
Q14739	Homo sapiens	Metazoa	615		False
Q9BZE9	Homo sapiens	Metazoa	553		False
O95210	Homo sapiens	Metazoa	358		True
Q86YS7	Homo sapiens	Metazoa	1000		False
Q96AZ6	Homo sapiens	Metazoa	181		False
Q9LQF2	Arabidopsis thaliana	Viridiplantae	551		False
P46939	Homo sapiens	Metazoa	3433		False
Q8IU68	Homo sapiens	Metazoa	726		False
Q9H7T9	Homo sapiens	Metazoa	357		False
Q8WXW3	Homo sapiens	Metazoa	757		False
O94875	Homo sapiens	Metazoa	1100		False
Q9P0N8	Homo sapiens	Metazoa	246		False
Q9UH99	Homo sapiens	Metazoa	717		False
Q9SI64	Arabidopsis thaliana	Viridiplantae	702		False
F4JXF1	Arabidopsis thaliana	Viridiplantae	581		False
Q9XI00	Arabidopsis thaliana	Viridiplantae	328		False
O75340	Homo sapiens	Metazoa	191		False
O75665	Homo sapiens	Metazoa	1012		False
P34111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1160		False
Q6P2H3	Homo sapiens	Metazoa	762		False
Q8N3F8	Homo sapiens	Metazoa	863		False
Q96RQ1	Homo sapiens	Metazoa	377		True
Q9FNP4	Arabidopsis thaliana	Viridiplantae	174		False
Q68G58	Mus musculus	Metazoa	516		False
P41846	Caenorhabditis elegans	Metazoa	1009		False
Q09LZ8	Mus musculus	Metazoa	540		False
Q8MLZ3	Dictyostelium discoideum	Other	867		False
P23506	Mus musculus	Metazoa	227		False
Q02759	Rattus norvegicus	Metazoa	663		False
Q8MUF9	Dictyostelium discoideum	Other	649		False
Q8VHT6	Rattus norvegicus	Metazoa	369		False
Q9QY93	Mus musculus	Metazoa	170		False
Q9QYJ6	Rattus norvegicus	Metazoa	794		False
P80667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	386		False
P07663	Drosophila melanogaster	Metazoa	1224		False
Q4V7C6	Rattus norvegicus	Metazoa	693		False
Q8LPL7	Arabidopsis thaliana	Viridiplantae	355		False
Q9VR38	Drosophila melanogaster	Metazoa	528		False
P16521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1044		False
P37727	Rattus norvegicus	Metazoa	650		False
P84086	Mus musculus	Metazoa	134		False
Q8CGY6	Mus musculus	Metazoa	931		False
P42945	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1769		False
Q08831	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	523		False
Q3UHH1	Mus musculus	Metazoa	1832		False
Q9FJI5	Arabidopsis thaliana	Viridiplantae	515		False
Q9VDE8	Drosophila melanogaster	Metazoa	974		False
A0A386CAB9	Danio rerio	Metazoa	1355		False
Q2VUH8	Komagataella pastoris	Fungi	323		False
Q8LD98	Arabidopsis thaliana	Viridiplantae	252		True
Q23272	Caenorhabditis elegans	Metazoa	488		False
P38793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	499		False
Q6C6R8	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	417		False
Q9VLL3	Drosophila melanogaster	Metazoa	753		False
P17106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	351		False
P54310	Mus musculus	Metazoa	759		False
P10127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		False
Q01217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	863		False
Q9C8R8	Arabidopsis thaliana	Viridiplantae	711		False
Q9CZ42	Mus musculus	Metazoa	343		False
O55003	Mus musculus	Metazoa	187		False
P32874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2273		False
P33751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	242		False
P53051	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	589		False
Q52K88	Arabidopsis thaliana	Viridiplantae	202		False
Q9VJV8	Drosophila melanogaster	Metazoa	361		False
P48237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	864		False
Q68G30	Rattus norvegicus	Metazoa	505		False
Q84JZ6	Arabidopsis thaliana	Viridiplantae	244		False
Q8VYF7	Arabidopsis thaliana	Viridiplantae	238		False
P53166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	561		False
P03877	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415		True
P54622	Drosophila melanogaster	Metazoa	146		False
P97287	Mus musculus	Metazoa	331		False
Q02773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1202		False
Q9CR24	Mus musculus	Metazoa	210		False
Q9SU91	Arabidopsis thaliana	Viridiplantae	336		False
Q9ZR07	Arabidopsis thaliana	Viridiplantae	187		False
Q8L7S5	Arabidopsis thaliana	Viridiplantae	642		False
O35250	Mus musculus	Metazoa	697		False
Q6PFQ7	Mus musculus	Metazoa	802		False
Q8BHN1	Mus musculus	Metazoa	524		False
O45495	Caenorhabditis elegans	Metazoa	139		False
P53615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221		False
Q9D328	Mus musculus	Metazoa	167		True
Q7TQJ8	Mus musculus	Metazoa	398		False
Q8VYJ1	Arabidopsis thaliana	Viridiplantae	560		True
Q0ZLH2	Mus musculus	Metazoa	352		False
P40344	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310		False
Q12181	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	623		False
Q920D2	Rattus norvegicus	Metazoa	187		False
Q08230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162		False
Q99LC3	Mus musculus	Metazoa	355		False
F4JYE9	Arabidopsis thaliana	Viridiplantae	530		False
P11914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482		False
Q9D6Z0	Mus musculus	Metazoa	221		False
Q9Z110	Mus musculus	Metazoa	795		False
Q924L1	Mus musculus	Metazoa	360		False
Q9FMM3	Arabidopsis thaliana	Viridiplantae	1714		False
P34815	Caenorhabditis elegans	Metazoa	591		False
P53170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	491		False
Q99J39	Mus musculus	Metazoa	492		False
A0A1S4BDC4	Nicotiana tabacum	Viridiplantae	790		False
Q42510	Arabidopsis thaliana	Viridiplantae	1451		False
G5EGQ6	Caenorhabditis elegans	Metazoa	2684		False
O88845	Mus musculus	Metazoa	662		False
Q9SRT0	Arabidopsis thaliana	Viridiplantae	460		False
P25087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	383		False
Q9VKJ9	Drosophila melanogaster	Metazoa	816		False
Q9VL76	Drosophila melanogaster	Metazoa	613		False
Q99J99	Mus musculus	Metazoa	297		False
P56394	Mus musculus	Metazoa	63		False
Q9ES19	Rattus norvegicus	Metazoa	347		False
Q8GXF8	Arabidopsis thaliana	Viridiplantae	283		False
Q94AU9	Arabidopsis thaliana	Viridiplantae	174		False
Q94K75	Arabidopsis thaliana	Viridiplantae	401		False
Q9CAF2	Arabidopsis thaliana	Viridiplantae	216		False
F4I3P9	Arabidopsis thaliana	Viridiplantae	772		False
O48917	Arabidopsis thaliana	Viridiplantae	477		False
P0C7R1	Arabidopsis thaliana	Viridiplantae	239		False
Q93WL3	Arabidopsis thaliana	Viridiplantae	238		False
Q6ATB4	Oryza sativa subsp. japonica	Viridiplantae	583		False
Q8H7F6	Arabidopsis thaliana	Viridiplantae	293		False
Q9LR91	Arabidopsis thaliana	Viridiplantae	319		False
O65282	Arabidopsis thaliana	Viridiplantae	253		False
O82796	Arabidopsis thaliana	Viridiplantae	295		False
Q8L794	Arabidopsis thaliana	Viridiplantae	478		False
Q94A41	Arabidopsis thaliana	Viridiplantae	887		False
Q8R2H7	Rattus norvegicus	Metazoa	913		False
Q94AI6	Arabidopsis thaliana	Viridiplantae	752		False
P41541	Bos taurus	Metazoa	961		False
Q9C4Z7	Arabidopsis thaliana	Viridiplantae	229		False
Q6L5B5	Oryza sativa subsp. japonica	Viridiplantae	248		False
B9F1C0	Oryza sativa subsp. japonica	Viridiplantae	1709		False
Q9VGH1	Drosophila melanogaster	Metazoa	520		False
F4JLC1	Arabidopsis thaliana	Viridiplantae	331		False
O49203	Arabidopsis thaliana	Viridiplantae	238		False
P16603	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	691		True
Q9ASW3	Arabidopsis thaliana	Viridiplantae	471		False
Q99NF2	Mus musculus	Metazoa	532		False
O96624	Dictyostelium discoideum	Other	174		False
A0A5K7RLP0	Mus musculus	Metazoa	589		False
F4I443	Arabidopsis thaliana	Viridiplantae	714		False
F4IXE7	Arabidopsis thaliana	Viridiplantae	1189		False
G5EEG7	Caenorhabditis elegans	Metazoa	510		False
O76906	Drosophila melanogaster	Metazoa	982		False
P02836	Drosophila melanogaster	Metazoa	552		False
P11420	Drosophila melanogaster	Metazoa	710		False
P15919	Mus musculus	Metazoa	1040		False
P40467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	964		False
Q03761	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539		False
Q23229	Caenorhabditis elegans	Metazoa	417		False
Q60974	Mus musculus	Metazoa	2453		False
Q61069	Mus musculus	Metazoa	310		False
Q867Z4	Drosophila melanogaster	Metazoa	970		False
Q8BIW9	Mus musculus	Metazoa	969		False
Q8H1D9	Arabidopsis thaliana	Viridiplantae	605		False
Q8IPX7	Drosophila melanogaster	Metazoa	232		False
Q8VWG3	Arabidopsis thaliana	Viridiplantae	303		False
Q91Z31	Mus musculus	Metazoa	531		False
Q9C516	Arabidopsis thaliana	Viridiplantae	848		False
Q9D4H9	Mus musculus	Metazoa	941		False
Q9FXD6	Arabidopsis thaliana	Viridiplantae	521		False
Q9M9F0	Arabidopsis thaliana	Viridiplantae	311		False
Q9N5A8	Caenorhabditis elegans	Metazoa	228		False
Q9QZ59	Mus musculus	Metazoa	374		False
V6CLJ5	Caenorhabditis elegans	Metazoa	790		False
Q17TI5	Arabidopsis thaliana	Viridiplantae	344		False
G5EDM7	Caenorhabditis elegans	Metazoa	627		False
G5EEQ5	Caenorhabditis elegans	Metazoa	367		False
O17670	Caenorhabditis elegans	Metazoa	503		False
O22130	Arabidopsis thaliana	Viridiplantae	317		False
O24606	Arabidopsis thaliana	Viridiplantae	628		False
P07248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1323		False
P14164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	731		False
P14291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	827		False
P15436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1097		False
P21827	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482		False
P38319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544		False
P38633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	127		False
P39735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	261		False
P40090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	624		False
P42073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	533		False
P50874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	479		False
P62806	Mus musculus	Metazoa	103		False
P70338	Mus musculus	Metazoa	423		False
P97931	Mus musculus	Metazoa	306		False
Q03774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444		False
Q06505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	410		False
Q0J995	Oryza sativa subsp. japonica	Viridiplantae	424		False
Q65XX7	Caenorhabditis elegans	Metazoa	262		False
Q80Z37	Mus musculus	Metazoa	1033		False
Q924W6	Mus musculus	Metazoa	1344		False
Q94126	Caenorhabditis elegans	Metazoa	211		False
Q95QK3	Caenorhabditis elegans	Metazoa	1061		False
Q9C5G0	Arabidopsis thaliana	Viridiplantae	367		False
Q9LUI3	Arabidopsis thaliana	Viridiplantae	695		False
Q9M086	Arabidopsis thaliana	Viridiplantae	1883		False
Q9W539	Drosophila melanogaster	Metazoa	1518		False
Q9XZS8	Drosophila melanogaster	Metazoa	613		False
Q673G8	Danio rerio	Metazoa	837		False
Q9LH52	Arabidopsis thaliana	Viridiplantae	325		False
U4PAZ9	Caenorhabditis elegans	Metazoa	1112		False
G5EDW7	Caenorhabditis elegans	Metazoa	386		False
G5EEM0	Caenorhabditis elegans	Metazoa	418		False
G5EGB2	Caenorhabditis elegans	Metazoa	459		False
G5EGD2	Caenorhabditis elegans	Metazoa	719		False
G5EGS7	Caenorhabditis elegans	Metazoa	324		False
O48533	Arabidopsis thaliana	Viridiplantae	259		False
P10734	Drosophila melanogaster	Metazoa	429		False
P11031	Mus musculus	Metazoa	127		False
P25441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422		False
P25615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	582		False
P27889	Mus musculus	Metazoa	558		False
P32585	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307		False
P34619	Caenorhabditis elegans	Metazoa	1000		False
P40065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302		False
P41896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	400		False
P49704	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	494		False
P53063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387		False
P59055	Mus musculus	Metazoa	597		False
Q03124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	581		False
Q06211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1407		False
Q0E671	Danio rerio	Metazoa	430		False
Q0WV90	Arabidopsis thaliana	Viridiplantae	1120		False
Q38895	Arabidopsis thaliana	Viridiplantae	204		False
Q501D5	Arabidopsis thaliana	Viridiplantae	589		False
Q5IRJ6	Mus musculus	Metazoa	567		False
Q61127	Mus musculus	Metazoa	525		False
Q681Z2	Arabidopsis thaliana	Viridiplantae	203		False
Q6DBA5	Arabidopsis thaliana	Viridiplantae	205		False
Q8H1D4	Arabidopsis thaliana	Viridiplantae	355		False
Q9FL12	Arabidopsis thaliana	Viridiplantae	592		False
Q9FRL5	Arabidopsis thaliana	Viridiplantae	309		False
Q9LZP8	Arabidopsis thaliana	Viridiplantae	146		False
Q9U1H0	Drosophila melanogaster	Metazoa	1832		False
Q9VQ56	Drosophila melanogaster	Metazoa	611		False
Q9VW47	Drosophila melanogaster	Metazoa	2531		False
Q920G2	Rattus norvegicus	Metazoa	337		False
A1YKT1	Arabidopsis thaliana	Viridiplantae	433		False
F1QN48	Danio rerio	Metazoa	379		False
G5EEG9	Caenorhabditis elegans	Metazoa	399		False
O49782	Arabidopsis thaliana	Viridiplantae	352		False
O88379	Mus musculus	Metazoa	1555		False
P07272	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	904		False
P08638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	886		False
P38111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2368		False
P38781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	883		False
P41224	Rattus norvegicus	Metazoa	301		False
P48985	Mus musculus	Metazoa	351		False
P53853	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264		False
P58334	Mus musculus	Metazoa	251		False
Q0WP44	Arabidopsis thaliana	Viridiplantae	1202		False
Q10SU5	Oryza sativa subsp. japonica	Viridiplantae	598		False
Q11107	Caenorhabditis elegans	Metazoa	2248		False
Q12309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687		False
Q3E7C1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	72		False
Q54ER9	Dictyostelium discoideum	Other	602		False
Q5ZEP9	Caenorhabditis elegans	Metazoa	281		False
Q63638	Rattus norvegicus	Metazoa	3259		False
Q6NQK2	Arabidopsis thaliana	Viridiplantae	449		False
Q8BLG0	Mus musculus	Metazoa	1010		False
Q8GZM7	Arabidopsis thaliana	Viridiplantae	478		False
Q8RWV3	Arabidopsis thaliana	Viridiplantae	416		False
Q99JB6	Mus musculus	Metazoa	429		False
Q9C9T2	Arabidopsis thaliana	Viridiplantae	451		False
Q9CQJ2	Mus musculus	Metazoa	290		False
Q9FH37	Arabidopsis thaliana	Viridiplantae	234		False
Q9VC56	Drosophila melanogaster	Metazoa	3912		False
Q9VFS6	Drosophila melanogaster	Metazoa	994		False
Q9VQI9	Drosophila melanogaster	Metazoa	1673		False
Q9NJP9	Trypanosoma brucei brucei	Other	512		False
O35387	Mus musculus	Metazoa	280		False
G5EC23	Caenorhabditis elegans	Metazoa	782		False
O35047	Mus musculus	Metazoa	217		False
O54963	Rattus norvegicus	Metazoa	1069		False
O65312	Arabidopsis thaliana	Viridiplantae	689		False
P05084	Drosophila melanogaster	Metazoa	758		False
P07269	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	559		False
P11746	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286		False
P26188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		False
P26755	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	122		False
P32833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	620		False
P33399	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275		False
P38074	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	348		False
P38291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140		False
P39678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	833		False
P40164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	858		False
P47027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	764		False
P53919	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492		False
Q04226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		False
Q05949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395		False
Q06213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157		False
Q08024	Mus musculus	Metazoa	187		False
Q09228	Caenorhabditis elegans	Metazoa	1129		False
Q1RNF8	Mus musculus	Metazoa	542		False
Q22717	Caenorhabditis elegans	Metazoa	170		False
Q5SUE7	Mus musculus	Metazoa	619		False
Q6IDA6	Arabidopsis thaliana	Viridiplantae	162		False
Q6NXH3	Mus musculus	Metazoa	473		False
Q8BWM0	Mus musculus	Metazoa	384		True
Q8L983	Arabidopsis thaliana	Viridiplantae	218		False
Q8LBM2	Arabidopsis thaliana	Viridiplantae	131		False
Q8MSU4	Drosophila melanogaster	Metazoa	1165		False
Q8VDF2	Mus musculus	Metazoa	782		False
Q8W4L5	Arabidopsis thaliana	Viridiplantae	790		False
Q91WC0	Mus musculus	Metazoa	594		False
Q965H3	Caenorhabditis elegans	Metazoa	735		False
Q9LMA8	Arabidopsis thaliana	Viridiplantae	253		False
Q9LMT2	Arabidopsis thaliana	Viridiplantae	713		False
Q9LS24	Arabidopsis thaliana	Viridiplantae	292		False
Q9LYD9	Arabidopsis thaliana	Viridiplantae	1096		False
Q9R1C0	Mus musculus	Metazoa	341		False
Q9VEX9	Drosophila melanogaster	Metazoa	150		False
Q9VQ30	Drosophila melanogaster	Metazoa	604		False
Q9VRJ0	Drosophila melanogaster	Metazoa	726		False
Q9W420	Drosophila melanogaster	Metazoa	1831		False
Q4VC33	Mus musculus	Metazoa	396		False
P52503	Mus musculus	Metazoa	116		False
P53969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484		False
P81449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96		False
Q12106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302		True
Q8C5Y2	Mus musculus	Metazoa	53		True
Q02888	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	182		False
Q09969	Caenorhabditis elegans	Metazoa	221		False
Q920A7	Mus musculus	Metazoa	789		False
Q9FLT9	Arabidopsis thaliana	Viridiplantae	259		True
F4JHH5	Arabidopsis thaliana	Viridiplantae	787		False
P03920	Bos taurus	Metazoa	606		True
Q9SS48	Arabidopsis thaliana	Viridiplantae	629		False
P14693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	329		False
Q9MA15	Arabidopsis thaliana	Viridiplantae	711		False
P56383	Mus musculus	Metazoa	146		True
O82645	Arabidopsis thaliana	Viridiplantae	488		False
P25583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	335		False
P32908	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1225		False
P40492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	516		False
P90838	Caenorhabditis elegans	Metazoa	505		False
Q04964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	104		False
